uid,source,region,cost
111,cpc_adwords,spb,41600
112,smm,vladimir,36900
113,seo,orel,29100
114,cpc_direct,moscow,30800
115,seo,orel,30100
116,smm,ekb,43900
117,cpc_direct,vladimir,25000
118,seo,ekb,46700
119,cpc_direct,moscow,46200
120,seo,moscow,21100
121,cpc_direct,spb,25200
122,cpc_adwords,orel,36000
123,seo,moscow,28500
124,cpc_adwords,spb,40200
125,cpc_adwords,moscow,47300
126,seo,ekb,35100
127,cpc_adwords,orel,25900
128,seo,spb,48900
129,seo,ekb,28400
130,seo,moscow,41600
131,smm,volgograd,24100
132,cpc_adwords,ekb,42400
133,smm,orel,35400
134,smm,spb,38900
135,cpc_adwords,volgograd,33900
136,smm,volgograd,39200
137,seo,spb,20500
138,seo,moscow,34900
139,cpc_direct,vladimir,32100
140,seo,moscow,38800
141,seo,vladimir,20800
142,seo,orel,21200
143,cpc_direct,orel,48400
144,cpc_direct,ekb,27700
145,cpc_adwords,ekb,24800
146,seo,ekb,29700
147,cpc_adwords,vladimir,44800
148,smm,orel,29100
149,seo,volgograd,20500
150,cpc_direct,vladimir,29600
151,seo,vladimir,33000
152,seo,volgograd,40200
153,cpc_direct,volgograd,28100
154,seo,ekb,21900
155,seo,vladimir,47000
156,cpc_adwords,spb,37500
157,cpc_adwords,moscow,40300
158,cpc_adwords,vladimir,37500
159,cpc_adwords,ekb,28200
160,smm,spb,32700
161,seo,moscow,45400
162,smm,ekb,39800
163,smm,orel,28500
164,seo,spb,38400
165,cpc_adwords,vladimir,39400
166,cpc_direct,spb,32300
167,cpc_direct,ekb,42800
168,cpc_adwords,spb,40100
169,cpc_direct,ekb,38900
170,seo,moscow,24500
171,smm,orel,36100
172,cpc_adwords,orel,25800
173,cpc_adwords,moscow,47600
174,cpc_direct,ekb,29900
175,cpc_adwords,moscow,29800
176,seo,vladimir,47700
177,cpc_adwords,spb,37000
178,cpc_adwords,volgograd,36500
179,smm,vladimir,42000
180,smm,vladimir,49900
181,cpc_direct,vladimir,37200
182,cpc_adwords,spb,34600
183,cpc_direct,spb,31100
184,seo,volgograd,43200
185,cpc_adwords,volgograd,28500
186,smm,ekb,27600
187,smm,moscow,47700
188,cpc_adwords,vladimir,46300
189,smm,vladimir,27200
190,seo,spb,28800
191,smm,spb,37800
192,smm,orel,49800
193,cpc_direct,orel,22800
194,cpc_direct,ekb,49200
195,seo,volgograd,34900
196,cpc_direct,vladimir,47700
197,smm,moscow,35900
198,seo,ekb,26800
199,cpc_adwords,orel,26800
200,cpc_adwords,vladimir,40200
201,seo,volgograd,48100
202,cpc_direct,ekb,32600
203,cpc_adwords,volgograd,46200
204,seo,volgograd,48600
205,cpc_adwords,volgograd,44100
206,seo,spb,20500
207,smm,vladimir,38400
208,seo,moscow,30100
209,cpc_adwords,volgograd,41000
210,cpc_adwords,orel,27300
211,smm,ekb,23400
212,smm,volgograd,34600
213,smm,volgograd,21700
214,seo,vladimir,48700
215,cpc_adwords,moscow,44800
216,cpc_direct,spb,24600
217,smm,vladimir,45900
218,seo,orel,45800
219,smm,ekb,31400
220,cpc_direct,volgograd,37200
221,seo,vladimir,44300
222,cpc_direct,orel,21500
223,cpc_adwords,moscow,33500
224,cpc_adwords,ekb,40200
225,cpc_adwords,moscow,32700
226,smm,spb,26700
227,seo,moscow,29100
228,smm,vladimir,46000
229,smm,spb,24900
230,cpc_direct,moscow,26800
231,cpc_direct,moscow,40900
232,cpc_adwords,spb,42900
233,cpc_direct,moscow,35000
234,cpc_adwords,spb,43000
235,seo,ekb,41000
236,cpc_direct,orel,46200
237,seo,volgograd,37300
238,seo,vladimir,44300
239,cpc_direct,ekb,30600
240,cpc_direct,volgograd,39000
241,cpc_direct,ekb,23700
242,seo,ekb,46800
243,cpc_direct,ekb,27500
244,seo,spb,29200
245,cpc_direct,spb,47000
246,cpc_direct,vladimir,20300
247,cpc_adwords,spb,31800
248,smm,moscow,23600
249,smm,ekb,22300
250,cpc_direct,spb,45500
251,seo,vladimir,49800
252,cpc_direct,vladimir,46700
253,cpc_direct,spb,42500
254,seo,moscow,25200
255,cpc_adwords,spb,24600
256,cpc_adwords,moscow,38500
257,seo,spb,44300
258,cpc_adwords,orel,47100
259,cpc_direct,volgograd,43600
260,cpc_direct,spb,23100
261,cpc_direct,ekb,30000
262,cpc_adwords,vladimir,47600
263,seo,orel,32700
264,cpc_adwords,moscow,30800
265,cpc_direct,spb,43400
266,cpc_direct,spb,20600
267,smm,volgograd,23400
268,seo,vladimir,41700
269,smm,vladimir,25200
270,cpc_adwords,spb,34700
271,smm,spb,46400
272,cpc_adwords,vladimir,48200
273,seo,orel,42800
274,smm,vladimir,37500
275,cpc_adwords,volgograd,46000
276,cpc_adwords,ekb,22700
277,smm,moscow,33800
278,cpc_direct,orel,20100
279,cpc_direct,moscow,40000
280,cpc_direct,ekb,25700
281,seo,vladimir,48300
282,seo,ekb,44000
283,smm,spb,48800
284,smm,volgograd,34600
285,cpc_direct,moscow,47900
286,seo,ekb,29100
287,cpc_direct,orel,23000
288,seo,orel,47800
289,smm,ekb,47500
290,cpc_direct,volgograd,45400
291,smm,volgograd,48200
292,smm,ekb,23400
293,seo,volgograd,34600
294,cpc_direct,vladimir,39300
295,cpc_adwords,volgograd,42900
296,smm,orel,22600
297,cpc_direct,volgograd,43800
298,cpc_adwords,spb,47000
299,seo,spb,48200
300,seo,vladimir,33700
301,seo,moscow,20600
302,smm,volgograd,34100
303,cpc_adwords,spb,34600
304,cpc_adwords,moscow,30000
305,cpc_direct,ekb,22800
306,cpc_adwords,vladimir,37400
307,cpc_adwords,moscow,38800
308,smm,moscow,21500
309,seo,ekb,21700
310,smm,vladimir,48700
311,cpc_direct,ekb,49400
312,cpc_adwords,volgograd,23200
313,cpc_direct,spb,26200
314,cpc_direct,moscow,35200
315,smm,vladimir,20500
316,smm,orel,20500
317,seo,orel,27500
318,seo,volgograd,21700
319,cpc_adwords,ekb,23000
320,cpc_direct,moscow,40900
321,smm,moscow,33100
322,cpc_adwords,spb,48400
323,seo,ekb,28400
324,cpc_adwords,moscow,43500
325,smm,moscow,46100
326,smm,orel,29300
327,cpc_direct,orel,21100
328,seo,moscow,45800
329,seo,vladimir,20700
330,seo,orel,42700
331,smm,ekb,47000
332,cpc_adwords,orel,45800
333,cpc_adwords,spb,41600
334,smm,ekb,37000
335,smm,moscow,47000
336,seo,spb,20300
337,cpc_direct,orel,40300
338,cpc_direct,ekb,24200
339,cpc_direct,moscow,46100
340,smm,orel,41000
341,smm,spb,26300
342,cpc_adwords,spb,32100
343,seo,spb,33000
344,cpc_adwords,spb,21800
345,cpc_direct,ekb,31500
346,cpc_adwords,moscow,46600
347,cpc_direct,vladimir,42300
348,seo,spb,46700
349,cpc_direct,moscow,35000
350,cpc_adwords,vladimir,48900
351,smm,spb,49000
352,seo,moscow,30100
353,seo,ekb,40600
354,smm,ekb,22700
355,smm,orel,41400
356,cpc_adwords,ekb,26600
357,seo,orel,46900
358,cpc_direct,spb,31100
359,smm,moscow,40900
360,seo,volgograd,28100
361,cpc_adwords,spb,37700
362,cpc_adwords,orel,38000
363,seo,spb,21400
364,cpc_adwords,spb,33700
365,seo,vladimir,49500
366,seo,volgograd,21200
367,cpc_adwords,ekb,49100
368,smm,vladimir,42000
369,seo,moscow,44100
370,smm,vladimir,37800
371,cpc_adwords,spb,37500
372,seo,spb,43600
373,cpc_direct,orel,23900
374,cpc_adwords,vladimir,35300
375,seo,moscow,24900
376,cpc_adwords,moscow,26000
377,seo,ekb,20900
378,seo,spb,23000
379,cpc_direct,orel,22400
380,cpc_direct,spb,28500
381,seo,ekb,31000
382,cpc_adwords,spb,38000
383,cpc_direct,moscow,29800
384,cpc_adwords,volgograd,23600
385,smm,spb,33300
386,cpc_adwords,volgograd,31300
387,cpc_adwords,spb,38900
388,seo,spb,46400
389,smm,ekb,43100
390,smm,moscow,21200
391,smm,vladimir,40700
392,cpc_direct,volgograd,26100
393,seo,orel,38600
394,smm,moscow,30300
395,cpc_adwords,spb,33100
396,seo,volgograd,40000
397,smm,orel,44800
398,cpc_adwords,moscow,47200
399,seo,moscow,38900
400,cpc_direct,volgograd,34600
401,smm,moscow,35300
402,seo,moscow,39300
403,cpc_adwords,moscow,39800
404,smm,volgograd,36000
405,seo,spb,34600
406,cpc_direct,orel,32700
407,cpc_direct,volgograd,45600
408,seo,vladimir,30900
409,cpc_adwords,vladimir,28400
410,seo,ekb,48400
411,cpc_direct,vladimir,24900
412,cpc_adwords,volgograd,33200
413,smm,ekb,44100
414,smm,spb,20900
415,smm,ekb,42000
416,cpc_direct,orel,49700
417,smm,moscow,21800
418,cpc_direct,orel,35700
419,seo,ekb,28400
420,seo,ekb,45900
421,smm,moscow,31000
422,smm,volgograd,43600
423,seo,ekb,23600
424,seo,orel,41300
425,smm,volgograd,48500
426,seo,orel,29600
427,seo,moscow,20900
428,seo,moscow,25400
429,cpc_direct,spb,20200
430,cpc_direct,orel,33300
431,smm,spb,23400
432,cpc_adwords,moscow,32800
433,seo,orel,43900
434,cpc_direct,ekb,49100
435,cpc_adwords,ekb,30900
436,cpc_adwords,ekb,22300
437,seo,moscow,31900
438,cpc_direct,ekb,45800
439,cpc_adwords,moscow,35000
440,cpc_direct,ekb,22300
441,smm,spb,39000
442,cpc_adwords,spb,34400
443,cpc_adwords,ekb,30300
444,cpc_direct,moscow,25300
445,seo,vladimir,36500
446,cpc_direct,orel,34000
447,cpc_adwords,moscow,48500
448,smm,moscow,38200
449,cpc_adwords,orel,43800
450,seo,orel,38100
451,smm,volgograd,31400
452,cpc_adwords,spb,35800
453,cpc_adwords,vladimir,31000
454,cpc_adwords,ekb,21200
455,cpc_direct,orel,24200
456,seo,orel,23100
457,cpc_direct,spb,50000
458,seo,orel,21200
459,seo,ekb,47000
460,cpc_direct,volgograd,39200
461,cpc_adwords,ekb,41600
462,cpc_adwords,moscow,20400
463,seo,moscow,31500
464,smm,vladimir,21700
465,smm,ekb,22000
466,seo,vladimir,20400
467,smm,volgograd,22100
468,cpc_direct,spb,26100
469,seo,orel,40600
470,seo,volgograd,49200
471,cpc_direct,moscow,33100
472,smm,vladimir,44300
473,cpc_direct,moscow,49400
474,smm,moscow,47500
475,cpc_direct,volgograd,35100
476,seo,spb,40200
477,cpc_direct,moscow,49000
478,cpc_adwords,moscow,25200
479,cpc_adwords,orel,37000
480,cpc_adwords,vladimir,40100
481,cpc_direct,spb,31600
482,smm,spb,49100
483,cpc_direct,vladimir,49100
484,smm,volgograd,29400
485,cpc_direct,moscow,38300
486,cpc_direct,orel,26100
487,cpc_adwords,ekb,22400
488,seo,moscow,30800
489,smm,volgograd,48200
490,smm,moscow,25900
491,seo,volgograd,38700
492,smm,vladimir,35300
493,smm,ekb,35200
494,seo,volgograd,22400
495,cpc_adwords,spb,45800
496,smm,vladimir,39800
497,cpc_direct,spb,46600
498,seo,orel,22600
499,smm,volgograd,27900
500,smm,vladimir,28700
501,cpc_adwords,orel,31200
502,smm,orel,33300
503,smm,orel,37900
504,smm,vladimir,32900
505,smm,orel,46300
506,cpc_direct,moscow,42300
507,cpc_direct,volgograd,37800
508,cpc_adwords,ekb,34300
509,cpc_direct,volgograd,23000
510,seo,moscow,39200
511,seo,volgograd,44500
512,cpc_adwords,orel,33800
513,seo,spb,48600
514,cpc_direct,ekb,33600
515,cpc_adwords,spb,35600
516,seo,moscow,45400
517,cpc_adwords,vladimir,42200
518,smm,spb,45200
519,smm,moscow,45500
520,seo,moscow,41200
521,cpc_adwords,vladimir,23300
522,cpc_adwords,volgograd,48000
523,cpc_direct,orel,49100
524,seo,orel,27200
525,seo,spb,34600
526,cpc_adwords,ekb,35400
527,smm,volgograd,30500
528,cpc_direct,spb,49000
529,cpc_direct,volgograd,47700
530,cpc_adwords,volgograd,39900
531,seo,volgograd,42500
532,seo,volgograd,35800
533,cpc_direct,moscow,33300
534,seo,moscow,45600
535,smm,orel,20600
536,cpc_direct,spb,20000
537,seo,spb,22800
538,seo,spb,23700
539,cpc_direct,ekb,32900
540,cpc_adwords,vladimir,43700
541,cpc_direct,vladimir,49700
542,seo,spb,49800
543,cpc_direct,volgograd,39400
544,cpc_direct,volgograd,39600
545,seo,spb,20900
546,cpc_adwords,spb,44500
547,smm,vladimir,29100
548,smm,vladimir,27400
549,cpc_direct,ekb,22100
550,seo,spb,25300
551,smm,ekb,37200
552,smm,orel,35400
553,cpc_adwords,moscow,40000
554,cpc_direct,orel,29800
555,cpc_adwords,ekb,44700
556,cpc_adwords,vladimir,40200
557,smm,volgograd,42900
558,smm,orel,23500
559,cpc_adwords,spb,28300
560,seo,vladimir,23100
561,smm,orel,25300
562,cpc_direct,volgograd,48700
563,smm,vladimir,24700
564,cpc_direct,ekb,31000
565,smm,vladimir,44900
566,cpc_adwords,ekb,27600
567,seo,spb,39400
568,cpc_direct,ekb,41700
569,seo,volgograd,32000
570,cpc_direct,volgograd,35700
571,smm,volgograd,42700
572,cpc_direct,orel,49900
573,cpc_direct,ekb,26800
574,smm,spb,40100
575,cpc_adwords,volgograd,21700
576,cpc_adwords,ekb,31200
577,seo,moscow,48700
578,cpc_direct,orel,33200
579,smm,orel,50000
580,seo,volgograd,42200
581,smm,ekb,41900
582,seo,moscow,44800
583,smm,vladimir,34600
584,smm,spb,31800
585,cpc_adwords,spb,34300
586,seo,moscow,25800
587,cpc_direct,moscow,30500
588,seo,volgograd,40100
589,seo,ekb,23700
590,cpc_direct,spb,33000
591,smm,vladimir,23500
592,cpc_adwords,ekb,43100
593,cpc_direct,ekb,33900
594,smm,vladimir,42600
595,seo,moscow,40400
596,cpc_direct,ekb,28000
597,seo,ekb,40400
598,smm,volgograd,21700
599,cpc_direct,orel,28800
600,smm,orel,26400
601,cpc_adwords,orel,37200
602,cpc_adwords,spb,37400
603,smm,ekb,35800
604,cpc_adwords,volgograd,32700
605,smm,orel,43500
606,cpc_direct,ekb,29500
607,seo,orel,40700
608,seo,orel,34800
609,cpc_adwords,spb,33000
610,smm,vladimir,28300
611,seo,orel,36200
612,cpc_adwords,ekb,34400
613,smm,ekb,20000
614,smm,volgograd,42700
615,smm,moscow,22200
616,smm,volgograd,37500
617,smm,spb,29000
618,cpc_adwords,orel,21600
619,seo,ekb,32900
620,seo,spb,21200
621,smm,orel,49600
622,smm,vladimir,43000
623,seo,volgograd,23500
624,cpc_direct,vladimir,39700
625,cpc_adwords,volgograd,23100
626,seo,orel,34300
627,cpc_direct,moscow,21100
628,cpc_direct,volgograd,38300
629,seo,spb,45300
630,seo,orel,23300
631,cpc_adwords,ekb,48800
632,seo,moscow,49600
633,seo,orel,40800
634,cpc_direct,volgograd,27900
635,seo,orel,33600
636,cpc_adwords,ekb,31500
637,smm,moscow,21600
638,cpc_direct,volgograd,49400
639,cpc_direct,ekb,38700
640,seo,orel,25900
641,seo,volgograd,32100
642,cpc_direct,orel,21500
643,cpc_direct,moscow,27600
644,seo,vladimir,39600
645,smm,spb,49700
646,cpc_direct,moscow,36100
647,cpc_adwords,moscow,34200
648,seo,moscow,36500
649,seo,volgograd,25600
650,cpc_adwords,spb,32200
651,cpc_direct,orel,29600
652,cpc_direct,orel,39900
653,cpc_direct,ekb,36700
654,cpc_direct,volgograd,34400
655,smm,spb,26900
656,seo,vladimir,24200
657,seo,volgograd,47600
658,cpc_adwords,ekb,35200
659,cpc_adwords,moscow,42200
660,cpc_adwords,ekb,48600
661,cpc_adwords,orel,38800
662,seo,spb,21700
663,cpc_direct,ekb,29400
664,cpc_adwords,ekb,25500
665,smm,ekb,40600
666,smm,moscow,27100
667,cpc_direct,spb,44500
668,seo,orel,33100
669,seo,spb,25700
670,smm,orel,34400
671,seo,moscow,34600
672,cpc_adwords,spb,43600
673,cpc_adwords,orel,23800
674,seo,orel,40700
675,cpc_adwords,vladimir,25900
676,cpc_adwords,orel,43700
677,seo,spb,33900
678,cpc_adwords,volgograd,43700
679,seo,orel,22500
680,seo,ekb,46300
681,smm,spb,23700
682,cpc_direct,volgograd,27300
683,cpc_adwords,orel,37300
684,seo,moscow,47100
685,cpc_adwords,ekb,29500
686,cpc_adwords,volgograd,36500
687,cpc_direct,vladimir,30100
688,cpc_direct,spb,26300
689,cpc_adwords,ekb,33200
690,cpc_adwords,moscow,42500
691,cpc_direct,orel,36300
692,smm,orel,33800
693,cpc_direct,spb,44100
694,cpc_adwords,volgograd,48400
695,seo,ekb,34600
696,cpc_direct,spb,37800
697,smm,spb,22600
698,cpc_adwords,spb,35300
699,smm,spb,35000
700,seo,ekb,47300
701,cpc_direct,spb,39800
702,seo,orel,23800
703,seo,moscow,43400
704,smm,spb,41800
705,smm,moscow,35700
706,seo,orel,21000
707,cpc_adwords,vladimir,43100
708,smm,vladimir,31100
709,smm,orel,20000
710,cpc_direct,spb,48300
711,cpc_direct,vladimir,35200
712,smm,ekb,30600
713,cpc_direct,volgograd,48800
714,cpc_adwords,vladimir,44000
715,cpc_adwords,volgograd,27200
716,cpc_direct,spb,27500
717,cpc_direct,spb,40100
718,cpc_direct,moscow,29900
719,smm,vladimir,40800
720,smm,vladimir,39300
721,cpc_direct,vladimir,31500
722,smm,orel,33900
723,cpc_adwords,spb,26200
724,cpc_adwords,spb,39000
725,smm,orel,45600
726,seo,vladimir,21900
727,cpc_direct,orel,21900
728,smm,moscow,46200
729,cpc_adwords,volgograd,22700
730,seo,spb,28900
731,seo,spb,29100
732,smm,volgograd,40600
733,cpc_adwords,volgograd,21200
734,seo,moscow,37900
735,cpc_adwords,spb,33100
736,smm,moscow,48900
737,smm,ekb,43300
738,smm,spb,43500
739,cpc_adwords,spb,37600
740,seo,volgograd,39900
741,smm,ekb,31000
742,cpc_adwords,vladimir,25600
743,seo,vladimir,39300
744,seo,spb,31400
745,cpc_adwords,volgograd,36300
746,seo,orel,37100
747,cpc_direct,vladimir,27400
748,cpc_adwords,ekb,27100
749,smm,orel,46800
750,smm,moscow,38400
751,seo,moscow,38800
752,cpc_adwords,moscow,33000
753,cpc_adwords,volgograd,30800
754,seo,orel,29800
755,seo,volgograd,34400
756,cpc_direct,ekb,28200
757,cpc_adwords,orel,34100
758,cpc_direct,ekb,22100
759,smm,ekb,31100
760,seo,orel,21500
761,cpc_direct,spb,44500
762,cpc_adwords,ekb,25400
763,smm,vladimir,34100
764,cpc_adwords,ekb,26700
765,cpc_direct,ekb,23300
766,cpc_adwords,volgograd,23200
767,cpc_adwords,moscow,40300
768,cpc_adwords,orel,34300
769,seo,orel,25200
770,smm,vladimir,40300
771,cpc_adwords,spb,37300
772,cpc_direct,volgograd,43900
773,seo,spb,23400
774,smm,vladimir,41700
775,smm,orel,23100
776,cpc_direct,moscow,36700
777,seo,vladimir,24500
778,seo,vladimir,36700
779,seo,orel,23100
780,cpc_adwords,moscow,37000
781,smm,spb,30100
782,seo,vladimir,47300
783,smm,orel,35300
784,cpc_direct,orel,34800
785,smm,spb,45800
786,cpc_direct,volgograd,43100
787,smm,orel,29400
788,cpc_direct,volgograd,40300
789,cpc_direct,moscow,29100
790,cpc_adwords,ekb,29600
791,cpc_adwords,volgograd,49100
792,seo,moscow,27900
793,smm,orel,45500
794,seo,volgograd,34200
795,smm,orel,35100
796,seo,ekb,44800
797,cpc_adwords,ekb,24300
798,cpc_adwords,orel,45500
799,cpc_adwords,moscow,21900
800,cpc_direct,vladimir,22200
801,seo,ekb,26100
802,cpc_direct,orel,48900
803,seo,spb,30300
804,smm,volgograd,23100
805,seo,orel,35000
806,seo,orel,26500
807,cpc_adwords,ekb,45800
808,seo,vladimir,36600
809,cpc_direct,ekb,23800
810,smm,vladimir,43800
811,seo,volgograd,44600
812,cpc_direct,orel,35500
813,smm,orel,45500
814,seo,orel,49500
815,cpc_direct,vladimir,48500
816,cpc_adwords,moscow,36700
817,cpc_direct,vladimir,33600
818,cpc_adwords,volgograd,35800
819,cpc_direct,vladimir,31100
820,seo,orel,23500
821,cpc_adwords,vladimir,49400
822,cpc_direct,volgograd,34500
823,seo,ekb,33400
824,smm,moscow,42900
825,cpc_adwords,vladimir,20600
826,cpc_adwords,volgograd,45700
827,cpc_adwords,ekb,26000
828,cpc_adwords,orel,24800
829,smm,spb,34700
830,seo,ekb,38600
831,smm,spb,45800
832,seo,orel,34100
833,seo,ekb,47000
834,cpc_direct,vladimir,22300
835,cpc_direct,vladimir,43800
836,seo,vladimir,41800
837,smm,ekb,37200
838,seo,volgograd,36400
839,cpc_direct,spb,23400
840,seo,vladimir,27600
841,smm,vladimir,44100
842,seo,ekb,22600
843,seo,volgograd,21800
844,smm,volgograd,38100
845,seo,spb,34100
846,cpc_direct,vladimir,39800
847,cpc_direct,volgograd,26900
848,seo,vladimir,31300
849,seo,ekb,28300
850,smm,moscow,34000
851,seo,volgograd,42500
852,cpc_adwords,orel,36200
853,smm,ekb,29800
854,seo,moscow,31600
855,seo,vladimir,32500
856,cpc_direct,spb,24100
857,cpc_adwords,ekb,33500
858,smm,ekb,28200
859,seo,volgograd,49000
860,smm,moscow,21700
861,smm,ekb,30800
862,cpc_direct,orel,43000
863,cpc_direct,vladimir,37200
864,cpc_adwords,ekb,36900
865,seo,orel,32900
866,seo,orel,37900
867,seo,orel,49000
868,smm,moscow,32300
869,smm,vladimir,37100
870,cpc_direct,volgograd,43300
871,smm,orel,33900
872,cpc_adwords,ekb,22700
873,seo,ekb,39400
874,smm,volgograd,21300
875,cpc_direct,ekb,37900
876,smm,volgograd,33800
877,cpc_adwords,ekb,31000
878,cpc_direct,moscow,45400
879,cpc_adwords,orel,21700
880,seo,orel,24400
881,cpc_direct,moscow,42600
882,cpc_adwords,orel,40300
883,cpc_adwords,orel,49300
884,seo,spb,36200
885,cpc_direct,volgograd,46900
886,seo,volgograd,23700
887,smm,vladimir,44000
888,seo,volgograd,44800
889,seo,orel,44400
890,cpc_direct,volgograd,21500
891,smm,moscow,30200
892,cpc_adwords,spb,35300
893,cpc_adwords,vladimir,47900
894,smm,ekb,30200
895,cpc_direct,volgograd,44400
896,seo,vladimir,20500
897,smm,ekb,48400
898,cpc_adwords,moscow,33100
899,seo,orel,25100
900,seo,moscow,39100
901,smm,volgograd,36300
902,cpc_direct,orel,31000
903,cpc_adwords,vladimir,28000
904,smm,ekb,40600
905,cpc_adwords,moscow,40200
906,seo,orel,29500
907,seo,spb,48500
908,cpc_direct,ekb,20200
909,seo,orel,20700
910,cpc_adwords,moscow,45200
911,cpc_adwords,ekb,33900
912,seo,orel,25800
913,cpc_direct,orel,36100
914,seo,moscow,42900
915,cpc_adwords,moscow,26700
916,smm,vladimir,36700
917,cpc_direct,spb,41100
918,cpc_adwords,ekb,32400
919,cpc_adwords,volgograd,29600
920,cpc_direct,orel,45600
921,smm,orel,46100
922,smm,ekb,28800
923,cpc_adwords,orel,44500
924,cpc_direct,spb,48600
925,seo,ekb,38200
926,seo,volgograd,35300
927,cpc_adwords,volgograd,30700
928,seo,volgograd,21400
929,cpc_direct,spb,40500
930,cpc_adwords,vladimir,28700
931,seo,vladimir,29900
932,smm,volgograd,48100
933,smm,volgograd,26600
934,smm,vladimir,40400
935,cpc_adwords,volgograd,29500
936,cpc_direct,ekb,41300
937,smm,orel,22800
938,cpc_adwords,spb,23300
939,cpc_direct,volgograd,30000
940,cpc_adwords,vladimir,45200
941,seo,orel,40800
942,cpc_adwords,orel,45500
943,cpc_adwords,orel,21300
944,smm,moscow,47000
945,seo,volgograd,43200
946,cpc_direct,volgograd,32900
947,seo,vladimir,44600
948,seo,spb,30500
949,smm,orel,26800
950,seo,orel,25300
951,cpc_adwords,volgograd,28700
952,smm,ekb,44400
953,seo,moscow,28000
954,seo,volgograd,35200
955,cpc_direct,ekb,46100
956,cpc_adwords,spb,43700
957,cpc_adwords,spb,39100
958,smm,moscow,26900
959,smm,moscow,34300
960,cpc_adwords,volgograd,34800
961,smm,orel,28900
962,smm,orel,30100
963,cpc_direct,volgograd,38100
964,cpc_direct,volgograd,34100
965,cpc_direct,spb,24600
966,cpc_direct,ekb,40400
967,cpc_adwords,volgograd,40900
968,cpc_direct,moscow,20000
969,cpc_direct,orel,27300
970,cpc_adwords,spb,48700
971,smm,moscow,44700
972,smm,moscow,46100
973,seo,spb,21600
974,seo,volgograd,44000
975,cpc_adwords,spb,32200
976,seo,spb,46300
977,smm,ekb,35800
978,cpc_adwords,moscow,29400
979,seo,spb,49100
980,cpc_direct,ekb,41300
981,seo,vladimir,40400
982,cpc_adwords,volgograd,32800
983,cpc_adwords,ekb,38500
984,seo,moscow,23800
985,cpc_adwords,spb,36900
986,cpc_direct,spb,34600
987,cpc_adwords,ekb,28300
