uid,date,event_type,price,cogs
34,3/6/20,visit,,
34,3/3/20,visit,,
36,3/7/20,visit,,
36,3/2/20,visit,,
31,3/5/20,visit,,
31,3/5/20,purchase,79600,50148
31,3/3/20,visit,,
31,3/6/20,visit,,
13,3/6/20,visit,,
13,3/4/20,visit,,
13,3/5/20,visit,,
321,3/4/20,visit,,
321,3/5/20,visit,,
321,3/5/20,purchase,138300,44256
321,3/3/20,visit,,
395,3/4/20,visit,,
395,3/2/20,visit,,
395,3/6/20,visit,,
401,3/3/20,visit,,
401,3/3/20,purchase,145700,71393
401,3/3/20,visit,,
401,3/7/20,visit,,
401,3/6/20,visit,,
401,3/2/20,visit,,
401,3/2/20,visit,,
401,3/7/20,visit,,
401,3/3/20,visit,,
53,3/1/20,visit,,
372,3/5/20,visit,,
372,3/5/20,visit,,
372,3/6/20,visit,,
372,3/1/20,visit,,
372,3/1/20,purchase,85500,39330
372,3/7/20,visit,,
255,3/5/20,visit,,
255,3/3/20,visit,,
255,3/4/20,visit,,
170,3/4/20,visit,,
170,3/4/20,purchase,44500,25365
170,3/1/20,visit,,
170,3/1/20,purchase,41800,25498
170,3/2/20,visit,,
170,3/2/20,purchase,80700,29859
170,3/4/20,visit,,
170,3/6/20,visit,,
170,3/6/20,purchase,214500,120120
170,3/5/20,visit,,
170,3/5/20,purchase,30100,9030
5,3/4/20,visit,,
5,3/4/20,purchase,118100,87394
5,3/7/20,visit,,
5,3/4/20,visit,,
5,3/1/20,visit,,
5,3/5/20,visit,,
5,3/5/20,visit,,
5,3/5/20,purchase,132200,42304
5,3/4/20,visit,,
5,3/4/20,purchase,148200,97812
5,3/5/20,visit,,
26,3/2/20,visit,,
26,3/2/20,purchase,218100,128679
26,3/6/20,visit,,
26,3/1/20,visit,,
26,3/1/20,purchase,71200,50552
26,3/2/20,visit,,
425,3/4/20,visit,,
425,3/1/20,visit,,
425,3/4/20,visit,,
425,3/1/20,visit,,
425,3/7/20,visit,,
413,3/1/20,visit,,
318,3/6/20,visit,,
318,3/7/20,visit,,
18,3/4/20,visit,,
18,3/3/20,visit,,
18,3/7/20,visit,,
18,3/5/20,visit,,
18,3/3/20,visit,,
193,3/6/20,visit,,
345,3/2/20,visit,,
345,3/2/20,purchase,32100,23112
345,3/6/20,visit,,
345,3/1/20,visit,,
345,3/1/20,purchase,94600,39732
345,3/4/20,visit,,
345,3/5/20,visit,,
345,3/4/20,visit,,
345,3/4/20,purchase,85900,65284
106,3/3/20,visit,,
106,3/6/20,visit,,
106,3/3/20,visit,,
106,3/7/20,visit,,
247,3/1/20,visit,,
247,3/3/20,visit,,
247,3/7/20,visit,,
247,3/3/20,visit,,
247,3/5/20,visit,,
247,3/5/20,visit,,
90,3/6/20,visit,,
90,3/5/20,visit,,
134,3/3/20,visit,,
134,3/3/20,purchase,75600,27216
134,3/2/20,visit,,
134,3/2/20,visit,,
134,3/6/20,visit,,
134,3/2/20,visit,,
302,3/3/20,visit,,
302,3/3/20,visit,,
302,3/4/20,visit,,
302,3/3/20,visit,,
302,3/3/20,purchase,7300,2555
57,3/6/20,visit,,
57,3/2/20,visit,,
212,3/3/20,visit,,
212,3/6/20,visit,,
212,3/6/20,purchase,13700,3562
212,3/6/20,visit,,
212,3/5/20,visit,,
212,3/1/20,visit,,
212,3/2/20,visit,,
141,3/3/20,visit,,
141,3/3/20,visit,,
141,3/7/20,visit,,
141,3/5/20,visit,,
186,3/5/20,visit,,
186,3/5/20,visit,,
186,3/5/20,purchase,22600,8136
186,3/1/20,visit,,
186,3/1/20,purchase,86700,56355
186,3/6/20,visit,,
303,3/5/20,visit,,
303,3/5/20,purchase,19300,8878
303,3/7/20,visit,,
303,3/4/20,visit,,
303,3/5/20,visit,,
303,3/5/20,purchase,215600,150920
303,3/4/20,visit,,
303,3/5/20,visit,,
303,3/5/20,visit,,
192,3/2/20,visit,,
192,3/1/20,visit,,
192,3/2/20,visit,,
192,3/6/20,visit,,
192,3/6/20,purchase,34500,12075
11,3/2/20,visit,,
11,3/7/20,visit,,
11,3/1/20,visit,,
385,3/6/20,visit,,
385,3/1/20,visit,,
385,3/2/20,visit,,
385,3/2/20,visit,,
385,3/7/20,visit,,
385,3/4/20,visit,,
385,3/3/20,visit,,
385,3/2/20,visit,,
385,3/2/20,purchase,91000,68250
385,3/5/20,visit,,
16,3/3/20,visit,,
16,3/6/20,visit,,
16,3/5/20,visit,,
16,3/5/20,visit,,
16,3/3/20,visit,,
16,3/3/20,purchase,92900,43663
381,3/7/20,visit,,
381,3/5/20,visit,,
381,3/5/20,visit,,
381,3/5/20,visit,,
381,3/6/20,visit,,
381,3/6/20,visit,,
282,3/6/20,visit,,
282,3/4/20,visit,,
282,3/2/20,visit,,
282,3/3/20,visit,,
282,3/4/20,visit,,
282,3/3/20,visit,,
282,3/2/20,visit,,
282,3/3/20,visit,,
66,3/5/20,visit,,
66,3/2/20,visit,,
66,3/2/20,purchase,33500,22445
66,3/4/20,visit,,
66,3/5/20,visit,,
136,3/7/20,visit,,
136,3/7/20,purchase,31900,12122
225,3/2/20,visit,,
225,3/6/20,visit,,
225,3/6/20,visit,,
225,3/2/20,visit,,
225,3/1/20,visit,,
225,3/4/20,visit,,
225,3/2/20,visit,,
225,3/7/20,visit,,
225,3/7/20,purchase,167900,109135
225,3/4/20,visit,,
173,3/3/20,visit,,
173,3/4/20,visit,,
339,3/6/20,visit,,
339,3/6/20,visit,,
339,3/5/20,visit,,
339,3/7/20,visit,,
339,3/7/20,purchase,27200,17680
221,3/7/20,visit,,
221,3/7/20,visit,,
221,3/7/20,purchase,101000,42420
221,3/7/20,visit,,
221,3/3/20,visit,,
221,3/3/20,visit,,
221,3/2/20,visit,,
221,3/4/20,visit,,
221,3/7/20,visit,,
377,3/4/20,visit,,
377,3/6/20,visit,,
377,3/6/20,purchase,131500,78900
377,3/5/20,visit,,
377,3/1/20,visit,,
377,3/1/20,visit,,
377,3/3/20,visit,,
377,3/5/20,visit,,
377,3/6/20,visit,,
432,3/1/20,visit,,
432,3/4/20,visit,,
110,3/3/20,visit,,
110,3/2/20,visit,,
110,3/2/20,purchase,94900,65481
110,3/6/20,visit,,
110,3/4/20,visit,,
110,3/5/20,visit,,
110,3/6/20,visit,,
82,3/6/20,visit,,
82,3/2/20,visit,,
82,3/6/20,visit,,
82,3/3/20,visit,,
82,3/6/20,visit,,
82,3/6/20,visit,,
82,3/1/20,visit,,
82,3/2/20,visit,,
82,3/7/20,visit,,
330,3/7/20,visit,,
330,3/1/20,visit,,
281,3/4/20,visit,,
281,3/7/20,visit,,
281,3/5/20,visit,,
281,3/5/20,purchase,108500,75950
1,3/4/20,visit,,
1,3/2/20,visit,,
1,3/1/20,visit,,
1,3/1/20,purchase,164900,107185
1,3/5/20,visit,,
1,3/2/20,visit,,
1,3/2/20,visit,,
1,3/7/20,visit,,
1,3/3/20,visit,,
406,3/7/20,visit,,
406,3/3/20,visit,,
406,3/3/20,purchase,89800,35920
406,3/7/20,visit,,
406,3/3/20,visit,,
406,3/2/20,visit,,
406,3/3/20,visit,,
95,3/5/20,visit,,
95,3/6/20,visit,,
95,3/4/20,visit,,
95,3/6/20,visit,,
95,3/4/20,visit,,
95,3/4/20,purchase,109400,42666
95,3/6/20,visit,,
95,3/1/20,visit,,
95,3/1/20,visit,,
95,3/2/20,visit,,
188,3/6/20,visit,,
188,3/6/20,visit,,
188,3/2/20,visit,,
182,3/7/20,visit,,
182,3/3/20,visit,,
182,3/1/20,visit,,
365,3/4/20,visit,,
125,3/4/20,visit,,
125,3/4/20,visit,,
125,3/6/20,visit,,
125,3/1/20,visit,,
125,3/6/20,visit,,
125,3/6/20,purchase,134200,85888
125,3/4/20,visit,,
125,3/4/20,purchase,35200,24992
56,3/5/20,visit,,
56,3/2/20,visit,,
56,3/3/20,visit,,
56,3/3/20,purchase,108800,34816
88,3/2/20,visit,,
88,3/3/20,visit,,
88,3/3/20,purchase,76300,41965
88,3/1/20,visit,,
88,3/1/20,visit,,
88,3/5/20,visit,,
88,3/7/20,visit,,
88,3/7/20,visit,,
264,3/2/20,visit,,
264,3/4/20,visit,,
264,3/7/20,visit,,
264,3/2/20,visit,,
264,3/2/20,visit,,
264,3/7/20,visit,,
264,3/6/20,visit,,
264,3/3/20,visit,,
264,3/2/20,visit,,
264,3/2/20,purchase,160500,70620
323,3/7/20,visit,,
323,3/3/20,visit,,
323,3/3/20,purchase,173600,88536
323,3/7/20,visit,,
323,3/1/20,visit,,
323,3/1/20,purchase,123200,76384
78,3/2/20,visit,,
78,3/4/20,visit,,
426,3/7/20,visit,,
426,3/1/20,visit,,
426,3/3/20,visit,,
234,3/1/20,visit,,
234,3/6/20,visit,,
278,3/4/20,visit,,
278,3/6/20,visit,,
444,3/1/20,visit,,
444,3/4/20,visit,,
444,3/1/20,visit,,
444,3/7/20,visit,,
444,3/7/20,purchase,147100,61782
444,3/3/20,visit,,
444,3/7/20,visit,,
444,3/1/20,visit,,
444,3/2/20,visit,,
444,3/3/20,visit,,
356,3/1/20,visit,,
356,3/1/20,purchase,85500,37620
356,3/7/20,visit,,
356,3/7/20,purchase,131100,32775
20,3/4/20,visit,,
20,3/5/20,visit,,
20,3/3/20,visit,,
20,3/7/20,visit,,
20,3/7/20,visit,,
20,3/1/20,visit,,
20,3/2/20,visit,,
138,3/4/20,visit,,
75,3/6/20,visit,,
75,3/6/20,visit,,
75,3/1/20,visit,,
75,3/3/20,visit,,
75,3/2/20,visit,,
75,3/7/20,visit,,
179,3/1/20,visit,,
161,3/2/20,visit,,
161,3/3/20,visit,,
161,3/4/20,visit,,
161,3/3/20,visit,,
378,3/1/20,visit,,
378,3/4/20,visit,,
378,3/4/20,purchase,195600,52812
360,3/3/20,visit,,
360,3/2/20,visit,,
360,3/2/20,purchase,44300,25251
360,3/7/20,visit,,
360,3/7/20,purchase,16600,5976
360,3/3/20,visit,,
360,3/3/20,visit,,
152,3/7/20,visit,,
152,3/3/20,visit,,
216,3/6/20,visit,,
216,3/4/20,visit,,
108,3/6/20,visit,,
108,3/1/20,visit,,
108,3/4/20,visit,,
389,3/5/20,visit,,
389,3/7/20,visit,,
389,3/4/20,visit,,
389,3/4/20,visit,,
389,3/1/20,visit,,
389,3/3/20,visit,,
389,3/3/20,purchase,92400,60060
389,3/3/20,visit,,
389,3/4/20,visit,,
389,3/6/20,visit,,
367,3/2/20,visit,,
367,3/2/20,purchase,87500,37625
40,3/3/20,visit,,
40,3/1/20,visit,,
40,3/1/20,purchase,98600,55216
299,3/3/20,visit,,
299,3/5/20,visit,,
299,3/2/20,visit,,
299,3/4/20,visit,,
347,3/2/20,visit,,
347,3/2/20,purchase,62100,18630
347,3/2/20,visit,,
347,3/2/20,visit,,
347,3/2/20,visit,,
347,3/6/20,visit,,
347,3/6/20,purchase,97600,38064
347,3/2/20,visit,,
347,3/2/20,purchase,33800,14534
347,3/5/20,visit,,
347,3/5/20,visit,,
347,3/5/20,visit,,
332,3/5/20,visit,,
332,3/5/20,purchase,63000,15750
332,3/2/20,visit,,
332,3/6/20,visit,,
332,3/1/20,visit,,
332,3/4/20,visit,,
154,3/2/20,visit,,
154,3/7/20,visit,,
154,3/4/20,visit,,
154,3/3/20,visit,,
46,3/6/20,visit,,
46,3/3/20,visit,,
46,3/4/20,visit,,
392,3/1/20,visit,,
392,3/2/20,visit,,
392,3/2/20,purchase,152600,93086
392,3/2/20,visit,,
392,3/7/20,visit,,
392,3/7/20,purchase,112200,43758
392,3/7/20,visit,,
392,3/4/20,visit,,
370,3/5/20,visit,,
370,3/1/20,visit,,
370,3/1/20,purchase,53700,35979
370,3/4/20,visit,,
370,3/4/20,purchase,26100,12006
370,3/3/20,visit,,
370,3/1/20,visit,,
370,3/2/20,visit,,
370,3/2/20,purchase,48900,36675
370,3/5/20,visit,,
370,3/7/20,visit,,
370,3/7/20,purchase,26400,14520
243,3/3/20,visit,,
243,3/2/20,visit,,
243,3/7/20,visit,,
243,3/4/20,visit,,
404,3/6/20,visit,,
404,3/4/20,visit,,
404,3/7/20,visit,,
288,3/1/20,visit,,
288,3/3/20,visit,,
288,3/3/20,visit,,
288,3/3/20,purchase,36900,18819
288,3/5/20,visit,,
288,3/3/20,visit,,
287,3/2/20,visit,,
287,3/1/20,visit,,
287,3/1/20,purchase,76200,19812
121,3/6/20,visit,,
121,3/2/20,visit,,
121,3/2/20,visit,,
121,3/5/20,visit,,
121,3/5/20,visit,,
121,3/7/20,visit,,
121,3/6/20,visit,,
175,3/3/20,visit,,
175,3/5/20,visit,,
175,3/5/20,visit,,
175,3/3/20,visit,,
175,3/7/20,visit,,
175,3/7/20,purchase,113000,45200
175,3/2/20,visit,,
175,3/2/20,purchase,165800,63004
307,3/7/20,visit,,
422,3/1/20,visit,,
422,3/2/20,visit,,
422,3/1/20,visit,,
422,3/1/20,purchase,18300,9150
422,3/1/20,visit,,
422,3/1/20,purchase,96300,32742
422,3/3/20,visit,,
120,3/5/20,visit,,
120,3/1/20,visit,,
120,3/2/20,visit,,
120,3/7/20,visit,,
120,3/1/20,visit,,
380,3/2/20,visit,,
380,3/5/20,visit,,
380,3/6/20,visit,,
380,3/5/20,visit,,
380,3/1/20,visit,,
380,3/1/20,visit,,
380,3/6/20,visit,,
380,3/6/20,purchase,166000,86320
380,3/7/20,visit,,
380,3/4/20,visit,,
430,3/2/20,visit,,
430,3/2/20,purchase,97200,35964
187,3/3/20,visit,,
187,3/7/20,visit,,
187,3/7/20,visit,,
187,3/1/20,visit,,
187,3/3/20,visit,,
301,3/5/20,visit,,
301,3/5/20,purchase,69600,48024
301,3/1/20,visit,,
301,3/1/20,purchase,44600,23638
301,3/6/20,visit,,
301,3/6/20,purchase,173600,116312
301,3/3/20,visit,,
33,3/7/20,visit,,
33,3/7/20,purchase,120800,82144
33,3/2/20,visit,,
33,3/1/20,visit,,
33,3/2/20,visit,,
33,3/5/20,visit,,
33,3/3/20,visit,,
33,3/7/20,visit,,
33,3/7/20,purchase,116600,66462
33,3/5/20,visit,,
98,3/2/20,visit,,
98,3/3/20,visit,,
98,3/3/20,purchase,52100,15109
98,3/2/20,visit,,
98,3/2/20,purchase,58500,16965
98,3/4/20,visit,,
98,3/4/20,visit,,
98,3/7/20,visit,,
98,3/7/20,purchase,30300,20907
98,3/2/20,visit,,
98,3/4/20,visit,,
122,3/6/20,visit,,
122,3/5/20,visit,,
119,3/4/20,visit,,
119,3/4/20,purchase,97800,50856
119,3/1/20,visit,,
119,3/1/20,purchase,144200,44702
119,3/6/20,visit,,
119,3/6/20,visit,,
119,3/6/20,purchase,103100,28868
74,3/7/20,visit,,
74,3/7/20,visit,,
74,3/1/20,visit,,
74,3/1/20,visit,,
74,3/1/20,visit,,
74,3/1/20,purchase,31600,23700
74,3/4/20,visit,,
74,3/3/20,visit,,
293,3/4/20,visit,,
293,3/1/20,visit,,
293,3/1/20,purchase,20200,9494
19,3/2/20,visit,,
19,3/7/20,visit,,
333,3/2/20,visit,,
333,3/7/20,visit,,
333,3/4/20,visit,,
333,3/7/20,visit,,
333,3/3/20,visit,,
333,3/5/20,visit,,
333,3/3/20,visit,,
333,3/3/20,purchase,19900,13532
333,3/6/20,visit,,
333,3/6/20,purchase,34700,9369
103,3/1/20,visit,,
103,3/2/20,visit,,
103,3/5/20,visit,,
103,3/3/20,visit,,
103,3/3/20,visit,,
103,3/7/20,visit,,
103,3/3/20,visit,,
103,3/3/20,purchase,110600,30968
103,3/1/20,visit,,
103,3/1/20,purchase,172800,108864
25,3/2/20,visit,,
25,3/2/20,purchase,76800,20736
25,3/4/20,visit,,
224,3/7/20,visit,,
224,3/7/20,purchase,36300,21780
224,3/3/20,visit,,
224,3/2/20,visit,,
224,3/2/20,purchase,185800,63172
224,3/6/20,visit,,
224,3/4/20,visit,,
199,3/7/20,visit,,
199,3/7/20,visit,,
199,3/7/20,visit,,
199,3/3/20,visit,,
199,3/6/20,visit,,
199,3/7/20,purchase,63800,27434
199,3/6/20,visit,,
199,3/5/20,visit,,
199,3/5/20,purchase,36000,9360
155,3/6/20,visit,,
155,3/7/20,visit,,
62,3/5/20,visit,,
62,3/5/20,visit,,
62,3/5/20,purchase,110700,56457
32,3/7/20,visit,,
32,3/2/20,visit,,
32,3/6/20,visit,,
32,3/5/20,visit,,
32,3/1/20,visit,,
32,3/1/20,purchase,106700,80025
32,3/7/20,visit,,
32,3/7/20,purchase,159300,71685
32,3/3/20,visit,,
398,3/5/20,visit,,
398,3/4/20,visit,,
398,3/5/20,visit,,
312,3/7/20,visit,,
312,3/7/20,visit,,
312,3/2/20,visit,,
312,3/1/20,visit,,
312,3/6/20,visit,,
97,3/5/20,visit,,
97,3/7/20,visit,,
97,3/5/20,visit,,
97,3/5/20,purchase,28700,12915
97,3/6/20,visit,,
77,3/1/20,visit,,
77,3/7/20,visit,,
42,3/4/20,visit,,
42,3/7/20,visit,,
42,3/1/20,visit,,
42,3/3/20,visit,,
42,3/1/20,visit,,
42,3/1/20,purchase,124900,46213
42,3/7/20,visit,,
42,3/4/20,visit,,
400,3/7/20,visit,,
400,3/3/20,visit,,
400,3/7/20,visit,,
400,3/4/20,visit,,
400,3/3/20,visit,,
400,3/2/20,visit,,
400,3/1/20,visit,,
400,3/1/20,purchase,138600,80388
400,3/1/20,visit,,
58,3/4/20,visit,,
58,3/3/20,visit,,
58,3/2/20,visit,,
58,3/4/20,visit,,
58,3/4/20,visit,,
326,3/5/20,visit,,
326,3/4/20,visit,,
326,3/6/20,visit,,
306,3/5/20,visit,,
416,3/5/20,visit,,
416,3/5/20,purchase,53300,23985
416,3/3/20,visit,,
76,3/3/20,visit,,
76,3/1/20,visit,,
76,3/1/20,purchase,38600,24318
222,3/5/20,visit,,
222,3/3/20,visit,,
222,3/6/20,visit,,
222,3/2/20,visit,,
222,3/5/20,visit,,
222,3/5/20,purchase,41300,25193
222,3/4/20,visit,,
222,3/7/20,visit,,
217,3/6/20,visit,,
427,3/1/20,visit,,
427,3/3/20,visit,,
427,3/7/20,visit,,
427,3/1/20,visit,,
440,3/6/20,visit,,
440,3/2/20,visit,,
440,3/2/20,purchase,23500,11045
440,3/5/20,visit,,
440,3/7/20,visit,,
440,3/7/20,visit,,
440,3/1/20,visit,,
440,3/4/20,visit,,
242,3/7/20,visit,,
242,3/7/20,purchase,178700,83989
242,3/3/20,visit,,
242,3/4/20,visit,,
242,3/1/20,visit,,
242,3/6/20,visit,,
242,3/3/20,visit,,
242,3/1/20,visit,,
242,3/1/20,visit,,
242,3/1/20,visit,,
145,3/1/20,visit,,
145,3/7/20,visit,,
145,3/4/20,visit,,
145,3/5/20,visit,,
145,3/3/20,visit,,
244,3/5/20,visit,,
244,3/2/20,visit,,
244,3/5/20,visit,,
319,3/6/20,visit,,
319,3/6/20,purchase,47600,28084
319,3/2/20,visit,,
319,3/1/20,visit,,
319,3/1/20,purchase,116000,33640
319,3/7/20,visit,,
319,3/5/20,visit,,
163,3/5/20,visit,,
163,3/7/20,visit,,
163,3/7/20,purchase,16500,11550
115,3/6/20,visit,,
115,3/3/20,visit,,
115,3/4/20,visit,,
115,3/6/20,visit,,
115,3/6/20,purchase,78100,49203
115,3/3/20,visit,,
115,3/2/20,visit,,
115,3/3/20,visit,,
275,3/4/20,visit,,
275,3/2/20,visit,,
197,3/7/20,visit,,
197,3/5/20,visit,,
197,3/7/20,visit,,
197,3/1/20,visit,,
197,3/5/20,visit,,
197,3/7/20,visit,,
197,3/7/20,visit,,
96,3/5/20,visit,,
96,3/5/20,visit,,
206,3/2/20,visit,,
206,3/4/20,visit,,
206,3/5/20,visit,,
206,3/5/20,visit,,
206,3/5/20,visit,,
206,3/5/20,visit,,
206,3/1/20,visit,,
206,3/7/20,visit,,
206,3/4/20,visit,,
206,3/4/20,purchase,134300,34918
376,3/6/20,visit,,
376,3/6/20,purchase,124500,51045
376,3/2/20,visit,,
376,3/3/20,visit,,
376,3/5/20,visit,,
376,3/5/20,purchase,33900,11187
376,3/6/20,visit,,
284,3/1/20,visit,,
284,3/2/20,visit,,
290,3/3/20,visit,,
290,3/3/20,visit,,
290,3/3/20,visit,,
290,3/3/20,purchase,41800,19646
290,3/4/20,visit,,
290,3/1/20,visit,,
290,3/2/20,visit,,
290,3/1/20,visit,,
290,3/3/20,visit,,
407,3/6/20,visit,,
407,3/7/20,visit,,
407,3/2/20,visit,,
407,3/2/20,visit,,
407,3/3/20,visit,,
407,3/2/20,visit,,
407,3/2/20,visit,,
274,3/5/20,visit,,
274,3/5/20,purchase,31200,19656
274,3/7/20,visit,,
436,3/1/20,visit,,
436,3/2/20,visit,,
436,3/7/20,visit,,
436,3/7/20,purchase,161400,46806
436,3/3/20,visit,,
436,3/2/20,visit,,
436,3/2/20,visit,,
436,3/1/20,visit,,
436,3/1/20,purchase,64800,22032
436,3/1/20,visit,,
436,3/1/20,purchase,85500,28215
436,3/2/20,visit,,
239,3/6/20,visit,,
239,3/3/20,visit,,
239,3/1/20,visit,,
239,3/1/20,visit,,
245,3/5/20,visit,,
417,3/2/20,visit,,
417,3/2/20,purchase,144800,82536
417,3/4/20,visit,,
417,3/4/20,visit,,
417,3/6/20,visit,,
417,3/1/20,visit,,
417,3/1/20,visit,,
417,3/1/20,purchase,107400,28998
417,3/4/20,visit,,
417,3/1/20,visit,,
417,3/1/20,purchase,75700,56018
417,3/7/20,visit,,
431,3/3/20,visit,,
203,3/6/20,visit,,
203,3/3/20,visit,,
158,3/4/20,visit,,
158,3/4/20,purchase,87600,34164
158,3/4/20,visit,,
158,3/5/20,visit,,
158,3/5/20,purchase,113100,46371
158,3/6/20,visit,,
158,3/1/20,visit,,
158,3/3/20,visit,,
99,3/1/20,visit,,
99,3/1/20,purchase,91100,26419
99,3/5/20,visit,,
99,3/6/20,visit,,
99,3/2/20,visit,,
442,3/2/20,visit,,
442,3/2/20,visit,,
442,3/4/20,visit,,
442,3/2/20,visit,,
442,3/5/20,visit,,
442,3/3/20,visit,,
442,3/6/20,visit,,
442,3/6/20,purchase,25300,16698
369,3/2/20,visit,,
369,3/4/20,visit,,
369,3/1/20,visit,,
369,3/1/20,visit,,
369,3/1/20,purchase,45700,31076
259,3/5/20,visit,,
259,3/5/20,purchase,115600,62424
259,3/2/20,visit,,
259,3/2/20,visit,,
259,3/5/20,visit,,
259,3/5/20,visit,,
259,3/5/20,purchase,94200,48984
259,3/3/20,visit,,
259,3/7/20,visit,,
259,3/6/20,visit,,
259,3/6/20,visit,,
259,3/6/20,purchase,58000,27260
316,3/5/20,visit,,
316,3/5/20,visit,,
316,3/5/20,visit,,
316,3/5/20,visit,,
316,3/1/20,visit,,
316,3/4/20,visit,,
324,3/5/20,visit,,
324,3/3/20,visit,,
324,3/3/20,visit,,
324,3/7/20,visit,,
324,3/1/20,visit,,
324,3/7/20,visit,,
261,3/6/20,visit,,
261,3/6/20,visit,,
261,3/3/20,visit,,
261,3/5/20,visit,,
261,3/2/20,visit,,
261,3/3/20,visit,,
261,3/1/20,visit,,
261,3/1/20,purchase,109600,74528
261,3/2/20,visit,,
229,3/4/20,visit,,
143,3/6/20,visit,,
71,3/3/20,visit,,
71,3/3/20,purchase,178700,69693
71,3/4/20,visit,,
71,3/7/20,visit,,
263,3/7/20,visit,,
263,3/7/20,visit,,
263,3/4/20,visit,,
263,3/4/20,visit,,
263,3/7/20,visit,,
263,3/7/20,purchase,126900,74871
263,3/1/20,visit,,
263,3/1/20,purchase,40000,18400
93,3/4/20,visit,,
93,3/2/20,visit,,
93,3/2/20,visit,,
93,3/4/20,visit,,
93,3/4/20,purchase,112800,53016
93,3/5/20,visit,,
93,3/5/20,purchase,146400,96624
93,3/6/20,visit,,
411,3/6/20,visit,,
411,3/3/20,visit,,
411,3/4/20,visit,,
12,3/2/20,visit,,
12,3/6/20,visit,,
12,3/7/20,visit,,
12,3/3/20,visit,,
12,3/3/20,purchase,122800,38068
12,3/5/20,visit,,
172,3/2/20,visit,,
172,3/2/20,purchase,36700,18717
172,3/1/20,visit,,
172,3/6/20,visit,,
172,3/4/20,visit,,
172,3/6/20,visit,,
172,3/6/20,purchase,37100,23744
172,3/7/20,visit,,
172,3/5/20,visit,,
116,3/4/20,visit,,
116,3/6/20,visit,,
116,3/6/20,purchase,68900,48230
414,3/5/20,visit,,
414,3/5/20,purchase,139200,72384
414,3/5/20,visit,,
414,3/1/20,visit,,
44,3/1/20,visit,,
200,3/7/20,visit,,
200,3/4/20,visit,,
249,3/4/20,visit,,
249,3/2/20,visit,,
